City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
205,Sarangani,PH,81.12,broken clouds,5.4033,125.4636,Ballistic Islet
206,Puerto Ayora,EC,84.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
214,Cayenne,GF,82.44,light rain,4.9333,-52.3333,Hôtel Le Dronmi
219,Conceicao Da Barra,BR,84.18,few clouds,-18.5933,-39.7322,Cricaré Praia Hotel
221,Kavaratti,IN,78.49,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
225,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
226,Trincomalee,LK,79.21,broken clouds,8.5711,81.2335,Welcombe Hotel
231,Pisco,PE,71.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
238,Papar,MY,77.0,overcast clouds,5.7333,115.9333,Koposizon Homestay
242,Marsh Harbour,BS,75.02,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
245,Hithadhoo,MV,82.69,few clouds,-0.6,73.0833,Scoop Guest House
247,Tarakan,ID,77.7,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
248,San Rafael,AR,77.7,clear sky,-34.6177,-68.3301,Hotel San Rafael
253,Lamu,KE,80.82,broken clouds,-2.2717,40.902,Lamu House
254,Ode,NG,82.63,clear sky,7.7899,5.7117,OWONIDADDY HOTEL AND SUITES
255,Udon Thani,TH,74.89,broken clouds,17.3333,102.8333,P.T.K. Apartment
256,Rio Gallegos,AR,77.05,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
257,Kahului,US,75.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
260,Corralillo,CU,79.32,scattered clouds,22.9819,-80.5856,Hostal De Pedri
262,Huarmey,PE,75.63,broken clouds,-10.0681,-78.1522,Hotel Miramar
266,Sao Domingos,BR,71.65,overcast clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
267,San Carlos De Bariloche,AR,82.15,few clouds,-41.1456,-71.3082,Hotel Patagonia
271,Bima,ID,76.91,broken clouds,-8.4667,118.7167,Lambitu Hotel
273,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
277,Tocopilla,CL,73.2,clear sky,-22.092,-70.1979,Hotel Galvarino
283,Samana,DO,77.83,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
284,Plettenberg Bay,ZA,74.93,broken clouds,-34.0527,23.3716,Thanda Vista B&B
285,The Valley,AI,78.82,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
287,Walvis Bay,,74.35,light rain,-22.9575,14.5053,Oyster Box Guesthouse
294,East London,ZA,74.98,clear sky,-33.0153,27.9116,Tu Casa
