City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Weather
78,Atuona,-9.8,-139.0333,78.75,73,10,20.15,PF,clear sky
79,San Joaquin,37.9333,-121.3011,58.53,65,0,3.44,US,clear sky
80,Cape Town,-33.9258,18.4232,71.1,64,18,4.09,ZA,few clouds
81,Tongchuan,35.0806,109.0897,22.39,90,100,5.32,CN,overcast clouds
82,Roald,62.5833,6.1333,39.99,65,75,10.36,NO,broken clouds
83,Balakhninskiy,58.0106,114.2769,3.27,99,100,1.14,RU,overcast clouds
84,Fairbanks,64.8378,-147.7164,-1.7,76,100,3.44,US,light snow
85,Henties Bay,-22.116,14.2845,70.86,81,85,8.43,NA,overcast clouds
86,Busselton,-33.65,115.3333,54.09,60,72,17.43,AU,broken clouds
87,La Grande,45.3246,-118.0877,52.05,80,48,4.25,US,scattered clouds
88,Cap Malheureux,-19.9842,57.6142,79.47,80,81,5.01,MU,broken clouds
89,Agbor,6.2518,6.1934,85.95,16,2,2.91,NG,clear sky
90,Chokurdakh,70.6333,147.9167,-38.94,100,99,2.42,RU,overcast clouds
91,Baykit,61.67,96.37,-8.23,100,96,2.82,RU,overcast clouds
92,Coracao De Jesus,-16.6853,-44.365,67.46,96,100,3.2,BR,overcast clouds
93,Quatre Cocos,-20.2078,57.7625,79.09,82,80,11.36,MU,broken clouds
94,Vila,42.0304,-8.1588,45.48,68,46,4.97,PT,scattered clouds
95,Payakumbuh,-0.2202,100.6308,67.95,92,99,3.67,ID,overcast clouds
96,Hilo,19.7297,-155.09,69.24,95,100,5.75,US,moderate rain
97,Anloga,5.7947,0.8973,81.9,75,17,13.44,GH,few clouds
98,Faanui,-16.4833,-151.75,81.16,74,96,21.83,PF,overcast clouds
99,Eureka,40.8021,-124.1637,56.01,90,65,1.61,US,broken clouds
100,Ampanihy,-24.7,44.75,73.69,91,100,21.05,MG,moderate rain
101,Kieta,-6.2167,155.6333,79.77,83,83,7.27,PG,broken clouds
102,Hasaki,35.7333,140.8333,25.2,40,1,25.75,JP,clear sky
103,New Norfolk,-42.7826,147.0587,52.72,72,34,1.86,AU,scattered clouds
104,Ambunti,-4.2365,142.8448,73.99,99,100,1.03,PG,moderate rain
105,Povenets,62.8487,34.8262,14.04,94,99,11.54,RU,overcast clouds
106,Barra Da Estiva,-13.6261,-41.3269,71.78,74,99,1.81,BR,light rain
107,Alice Springs,-23.7,133.8833,62.15,82,0,4.61,AU,clear sky
108,Upernavik,72.7868,-56.1549,-12.93,96,100,6.17,GL,overcast clouds
109,Saint-Philippe,-21.3585,55.7679,78.39,79,99,15.37,RE,overcast clouds
110,Baghmara,23.795,86.2085,60.04,56,65,4.03,IN,broken clouds
111,Tayoltita,24.0833,-105.9333,73.24,29,52,6.71,MX,broken clouds
112,Acarau,-2.8856,-40.12,85.96,62,46,16.08,BR,scattered clouds
113,Luderitz,-26.6481,15.1594,68.59,75,16,4.94,NA,few clouds
114,Dotnuva,55.35,23.9,36.48,98,100,14.03,LT,overcast clouds
115,Tasiilaq,65.6145,-37.6368,23.16,63,100,32.84,GL,overcast clouds
116,Faya,18.3851,42.4509,52.32,72,5,3.6,SA,clear sky
117,Deputatskiy,69.3,139.9,-34.22,99,78,4.88,RU,broken clouds
118,Bojnurd,37.4747,57.329,27.5,81,68,4.52,IR,broken clouds
119,Luanda,-8.8368,13.2343,77.09,78,37,15.52,AO,scattered clouds
120,Mehamn,71.0357,27.8492,20.14,88,35,15.77,NO,scattered clouds
121,Marsabit,2.3284,37.9899,76.37,29,90,6.42,KE,overcast clouds
122,Fuling,29.7022,107.3919,38.79,98,100,0.94,CN,overcast clouds
123,Torbay,47.6666,-52.7314,17.58,83,100,17.27,CA,light snow
124,Toora-Khem,52.4675,96.11,-13.09,99,65,1.23,RU,broken clouds
125,Kruisfontein,-34.0033,24.7314,76.89,58,81,15.68,ZA,broken clouds
126,Tinskoy,56.1525,96.9161,8.35,94,100,3.36,RU,overcast clouds
127,Georgetown,5.4112,100.3354,78.73,92,20,0.0,MY,few clouds
128,Taiyuan,37.8694,112.5603,19.26,49,0,2.24,CN,clear sky
129,Port-Gentil,-0.7193,8.7815,80.55,77,10,10.45,GA,clear sky
130,Egvekinot,66.3167,-179.1667,-14.53,84,3,6.93,RU,clear sky
131,Barrow,71.2906,-156.7887,-23.78,76,75,6.91,US,haze
132,Lamar,33.6668,-95.5836,49.66,40,0,9.22,US,clear sky
133,Lavrentiya,65.5833,-171.0,-12.89,93,5,6.51,RU,clear sky
134,Kavieng,-2.5744,150.7967,81.23,78,100,4.65,PG,overcast clouds
135,Port Blair,11.6667,92.75,78.82,80,13,10.16,IN,few clouds
136,Fare,-16.7,-151.0167,81.01,74,100,21.09,PF,light rain
137,Sulangan,11.1373,123.7228,79.84,75,33,14.67,PH,scattered clouds
138,Dikson,73.5069,80.5464,-20.88,99,82,9.37,RU,broken clouds
139,Preston,53.7667,-2.7167,45.86,75,81,11.99,GB,broken clouds
140,Sechura,-5.5569,-80.8222,82.54,54,86,10.96,PE,overcast clouds
141,Esperance,-33.8667,121.9,62.44,77,32,28.52,AU,scattered clouds
142,Tuktoyaktuk,69.4541,-133.0374,-22.0,76,100,18.41,CA,light snow
143,Bodden Town,19.2833,-81.25,84.2,58,20,11.5,KY,few clouds
144,Provideniya,64.3833,-173.3,-4.76,82,0,5.41,RU,clear sky
145,Port Hardy,50.6996,-127.4199,46.76,83,100,14.03,CA,overcast clouds
146,Novobirilyussy,56.9514,90.6661,11.46,92,100,5.46,RU,overcast clouds
147,Cabo San Lucas,22.8909,-109.9124,72.7,67,20,1.99,MX,few clouds
148,Laguna,38.421,-121.4238,62.44,68,0,1.01,US,clear sky
149,Maarianhamina,60.0973,19.9348,35.46,80,0,9.22,AX,clear sky
150,Salym,60.0625,71.4789,10.29,98,99,5.26,RU,overcast clouds
151,Souillac,-20.5167,57.5167,79.36,84,56,11.3,MU,broken clouds
152,Bandarbeyla,9.4942,50.8122,76.01,70,85,14.83,SO,overcast clouds
153,Devonport,-41.1667,146.35,60.01,90,17,6.6,AU,few clouds
154,Iqaluit,63.7506,-68.5145,-32.31,66,80,4.0,CA,broken clouds
155,Cabedelo,-6.9811,-34.8339,86.67,59,64,10.13,BR,broken clouds
156,Sovetskiy,61.3614,63.5842,9.27,95,98,7.05,RU,overcast clouds
157,Srednekolymsk,67.45,153.6833,-36.71,100,62,1.16,RU,broken clouds
158,Kununurra,-15.7667,128.7333,75.18,100,100,4.61,AU,overcast clouds
159,Sao Filipe,14.8961,-24.4956,74.62,68,0,12.01,CV,clear sky
160,San Patricio,28.017,-97.5169,62.69,62,1,5.23,US,clear sky
161,Merauke,-8.4667,140.3333,81.12,81,100,8.05,ID,overcast clouds
162,Paraiso,9.8383,-83.8656,84.15,45,6,6.55,CR,clear sky
163,Hofn,64.2539,-15.2082,27.95,65,11,14.88,IS,few clouds
164,Nikolayevsk-Na-Amure,53.1406,140.73,0.0,97,100,5.17,RU,overcast clouds
165,Hobart,-42.8794,147.3294,53.06,85,24,5.75,AU,few clouds
166,Carnarvon,-24.8667,113.6333,74.17,69,21,23.78,AU,few clouds
167,Tambopata,-12.7333,-69.1833,71.49,100,100,12.66,PE,moderate rain
168,Port Alfred,-33.5906,26.891,75.65,81,0,27.47,ZA,clear sky
169,Jinhua,29.1078,119.6547,36.88,98,100,3.49,CN,light rain
170,Fukue,32.6881,128.8419,44.26,60,95,15.03,JP,overcast clouds
171,Mandalgovi,45.7625,106.2708,4.82,66,2,5.99,MN,clear sky
172,Alofi,-19.0595,-169.9187,80.11,73,100,8.32,NU,overcast clouds
173,Yining,29.0361,114.5636,36.21,98,100,3.18,CN,light rain
174,Lorengau,-2.0226,147.2712,80.92,79,100,8.32,PG,overcast clouds
175,Ixtapa,20.7,-105.2,76.23,65,20,9.22,MX,few clouds
176,Trairi,-3.2778,-39.2689,85.39,62,49,10.92,BR,scattered clouds
177,Cidreira,-30.1811,-50.2056,81.28,50,15,13.22,BR,few clouds
178,Pervomayskiy,53.2485,40.2871,20.12,97,87,7.78,RU,overcast clouds
179,Clyde River,70.4692,-68.5914,-30.77,68,0,6.91,CA,haze
180,Chase,50.8165,-119.6857,35.13,95,99,2.91,CA,overcast clouds
181,Arlit,18.7369,7.3853,71.92,8,0,8.3,NE,clear sky
182,Belmonte,-15.8631,-38.8828,82.9,60,37,9.08,BR,scattered clouds
183,Roswell,34.0232,-84.3616,48.67,43,0,1.99,US,clear sky
184,Vestmanna,62.1564,-7.1664,34.72,64,75,28.77,FO,broken clouds
185,Lebu,-37.6167,-73.65,66.9,62,0,13.85,CL,clear sky
186,Reyes,-14.3167,-67.3833,70.79,98,100,6.98,BO,moderate rain
187,Brusyanskiy,53.9923,38.0937,21.7,97,90,9.6,RU,light snow
188,Kirovskiy,45.0917,133.5136,0.59,98,99,3.4,RU,light snow
189,Eyl,7.9803,49.8164,75.2,71,94,16.67,SO,overcast clouds
190,Verkhnevilyuysk,63.4453,120.3167,-7.1,98,100,5.55,RU,overcast clouds
191,Pailon,-17.65,-62.75,71.26,92,100,3.29,BO,overcast clouds
192,Isangel,-19.55,169.2667,79.52,90,100,14.14,VU,light rain
193,Mount Gambier,-37.8333,140.7667,60.28,63,1,5.86,AU,clear sky
194,Half Moon Bay,37.4636,-122.4286,61.45,72,0,0.0,US,clear sky
195,Muisne,0.6,-80.0333,78.91,73,48,9.48,EC,scattered clouds
196,Bend,44.0582,-121.3153,51.6,42,0,1.01,US,clear sky
197,Lasa,46.6166,10.7002,41.74,67,91,4.07,IT,overcast clouds
198,Ancud,-41.8697,-73.8203,76.23,69,10,6.55,CL,clear sky
199,Vila Velha,-20.3297,-40.2925,85.95,77,20,7.0,BR,few clouds
200,Airai,-8.9266,125.4092,61.11,89,91,1.07,TL,overcast clouds
201,Dunedin,-45.8742,170.5036,50.81,80,7,1.99,NZ,clear sky
202,Maniitsoq,65.4167,-52.9,4.46,75,100,16.75,GL,overcast clouds
203,Nyagan,62.1406,65.3936,-0.92,98,56,5.91,RU,broken clouds
204,Solnechnyy,50.7214,136.6319,-3.06,99,99,1.99,RU,overcast clouds
205,Sarangani,5.4033,125.4636,81.12,77,71,27.65,PH,broken clouds
206,Puerto Ayora,-0.7393,-90.3518,84.16,87,59,8.99,EC,broken clouds
207,Kaitangata,-46.2817,169.8464,41.72,94,6,2.46,NZ,clear sky
208,Barwani,22.0333,74.9,69.71,27,0,4.43,IN,clear sky
209,Kitimat,54.0524,-128.6534,41.92,39,100,4.32,CA,overcast clouds
210,Aklavik,68.2191,-135.0107,-13.81,93,100,17.81,CA,overcast clouds
211,Abdanan,32.9926,47.4198,45.41,56,1,1.3,IR,clear sky
212,Balkhash,46.844,74.9804,11.82,85,65,12.48,KZ,broken clouds
213,Saint-Augustin,51.226,-58.6502,-1.68,70,14,15.57,CA,few clouds
214,Cayenne,4.9333,-52.3333,82.44,83,75,5.99,GF,light rain
215,Riyadh,24.6877,46.7219,55.54,37,0,8.7,SA,clear sky
216,Ostrovnoy,68.0531,39.5131,14.14,86,96,22.17,RU,overcast clouds
217,Lata,40.1629,-8.3327,54.91,52,30,4.92,PT,scattered clouds
218,Barquisimeto,10.0739,-69.3228,85.46,41,40,6.02,VE,scattered clouds
219,Conceicao Da Barra,-18.5933,-39.7322,84.18,63,20,10.42,BR,few clouds
220,Arbuzynka,47.9097,31.3196,33.85,72,99,8.84,UA,overcast clouds
221,Kavaratti,10.5669,72.642,78.49,68,36,10.27,IN,scattered clouds
222,Lavumisa,-27.31,31.892,69.28,97,25,5.26,SZ,light rain
223,Caravelas,-17.7125,-39.2481,85.17,59,0,10.74,BR,clear sky
224,Krasnyye Baki,57.131,45.1599,-3.01,100,78,2.89,RU,broken clouds
225,Tautira,-17.7333,-149.15,84.22,76,56,21.9,PF,light rain
226,Trincomalee,8.5711,81.2335,79.21,67,58,12.48,LK,broken clouds
227,Zhuhai,22.2769,113.5678,61.99,82,20,10.36,CN,few clouds
228,Oranjemund,-28.55,16.4333,67.62,70,40,8.93,NA,scattered clouds
229,Mankono,8.0586,-6.1897,91.89,12,7,3.56,CI,clear sky
230,Yar-Sale,66.8333,70.8333,-13.4,100,89,7.29,RU,overcast clouds
231,Pisco,-13.7,-76.2167,71.02,83,40,10.36,PE,mist
232,Zhangjiakou,40.81,114.8794,14.58,60,78,5.21,CN,broken clouds
233,Dwarka,22.2394,68.9678,69.66,61,10,8.16,IN,clear sky
234,Bethel,41.3712,-73.414,29.01,55,0,3.0,US,clear sky
235,Khanpur,28.6453,70.6567,61.63,34,1,11.32,PK,clear sky
236,Hami,42.8,93.45,27.16,29,47,15.7,CN,scattered clouds
237,Dzhebariki-Khaya,62.2167,135.8,-39.26,99,88,0.69,RU,overcast clouds
238,Papar,5.7333,115.9333,77.0,90,100,3.67,MY,overcast clouds
239,Adrar,20.5022,-10.0711,77.31,7,0,7.81,MR,clear sky
240,Ndola,-12.9587,28.6366,62.91,94,97,1.57,ZM,light rain
241,Beidao,34.5686,105.8933,21.6,86,54,1.97,CN,broken clouds
242,Marsh Harbour,26.5412,-77.0636,75.02,72,85,12.88,BS,overcast clouds
243,Mayna,54.1135,47.6231,7.2,97,100,3.33,RU,overcast clouds
244,Washougal,45.5826,-122.3534,55.9,79,0,4.61,US,fog
245,Hithadhoo,-0.6,73.0833,82.69,72,21,12.66,MV,few clouds
246,Khash,28.2211,61.2158,50.77,37,1,6.13,IR,clear sky
247,Tarakan,3.3,117.6333,77.7,84,100,7.16,ID,overcast clouds
248,San Rafael,-34.6177,-68.3301,77.7,31,0,11.99,AR,clear sky
249,Longyearbyen,78.2186,15.6401,19.24,63,40,19.57,SJ,scattered clouds
250,Kirkconnel,55.3856,-3.9984,35.02,84,75,18.92,GB,broken clouds
251,Hirara,24.8,125.2833,64.4,65,81,17.74,JP,broken clouds
252,Mackenzie,55.2999,-123.1698,33.3,85,41,7.7,CA,scattered clouds
253,Lamu,-2.2717,40.902,80.82,87,63,14.2,KE,broken clouds
254,Ode,7.7899,5.7117,82.63,16,0,4.5,NG,clear sky
255,Udon Thani,17.3333,102.8333,74.89,61,82,3.38,TH,broken clouds
256,Rio Gallegos,-51.6226,-69.2181,77.05,33,40,19.57,AR,scattered clouds
257,Kahului,20.8947,-156.47,75.85,79,20,12.66,US,few clouds
258,Yatou,37.15,122.3833,27.88,59,28,3.71,CN,scattered clouds
259,Atar,20.5169,-13.0499,88.18,6,0,8.32,MR,clear sky
260,Corralillo,22.9819,-80.5856,79.32,61,45,13.42,CU,scattered clouds
261,Kushima,31.4583,131.2333,35.11,66,41,6.42,JP,scattered clouds
