City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
90,Tsiroanomandidy,-18.7667,46.0333,66.96,97,55,4.88,MG,2022-02-05 00:47:20
91,Barrow,71.2906,-156.7887,-20.18,69,100,9.22,US,2022-02-05 00:47:21
92,Berlevag,70.8578,29.0864,22.14,84,100,29.97,NO,2022-02-05 00:47:21
93,Saint-Joseph,-21.3667,55.6167,79.16,84,100,22.86,RE,2022-02-05 00:47:22
94,Bacolod,10.6667,122.95,79.57,76,97,14.99,PH,2022-02-05 00:44:54
95,Vaitape,-16.5167,-151.75,80.6,75,28,13.65,PF,2022-02-05 00:47:23
96,Cherskiy,68.75,161.3,-30.91,97,11,4.72,RU,2022-02-05 00:47:23
97,Polovinnoye,54.7914,65.9864,20.68,81,100,10.51,RU,2022-02-05 00:47:23
98,Batemans Bay,-35.7167,150.1833,70.92,64,61,11.7,AU,2022-02-05 00:47:24
99,Opuwo,-18.0607,13.84,68.81,50,100,3.56,NA,2022-02-05 00:47:24
100,Cabo San Lucas,22.8909,-109.9124,70.9,62,0,4.61,MX,2022-02-05 00:47:25
101,Cockburn Town,21.4612,-71.1419,75.16,73,40,11.5,TC,2022-02-05 00:47:25
102,Aksu,41.1231,80.2644,25.9,71,97,5.86,CN,2022-02-05 00:47:25
103,Aklavik,68.2191,-135.0107,-19.37,69,0,8.05,CA,2022-02-05 00:47:26
104,Novo Aripuana,-5.1206,-60.3797,73.98,98,100,2.33,BR,2022-02-05 00:47:26
105,Margate,51.3813,1.3862,40.95,79,0,3.0,GB,2022-02-05 00:47:27
106,Mehamn,71.0357,27.8492,19.96,88,100,31.52,NO,2022-02-05 00:47:27
107,Pisco,-13.7,-76.2167,68.05,83,0,18.41,PE,2022-02-05 00:47:28
108,Thaton,16.9206,97.3714,73.2,60,58,3.4,MM,2022-02-05 00:47:28
109,Flin Flon,54.7682,-101.865,-13.16,64,100,3.44,CA,2022-02-05 00:47:28
110,Gold Coast,-28.0,153.4333,80.35,73,75,11.01,AU,2022-02-05 00:43:59
111,Victoria,22.2855,114.1577,58.32,78,100,5.01,HK,2022-02-05 00:43:03
112,Pacific Grove,36.6177,-121.9166,66.4,54,0,3.0,US,2022-02-05 00:43:16
113,Khatanga,71.9667,102.5,-36.27,100,86,2.51,RU,2022-02-05 00:47:29
114,Saquarema,-22.92,-42.5103,78.82,92,100,10.8,BR,2022-02-05 00:47:30
115,Bredasdorp,-34.5322,20.0403,67.32,64,92,12.66,ZA,2022-02-05 00:44:21
116,Westport,41.1415,-73.3579,33.8,91,100,4.0,US,2022-02-05 00:47:30
117,Kununurra,-15.7667,128.7333,82.38,89,75,5.75,AU,2022-02-05 00:47:31
118,Mar Del Plata,-38.0023,-57.5575,69.1,83,100,3.0,AR,2022-02-05 00:44:26
119,Katsuura,35.1333,140.3,48.18,44,95,12.33,JP,2022-02-05 00:47:31
120,Los Llanos De Aridane,28.6585,-17.9182,58.75,81,0,8.99,ES,2022-02-05 00:47:32
121,Agirish,61.9247,63.0231,0.91,96,100,1.61,RU,2022-02-05 00:47:32
122,Hithadhoo,-0.6,73.0833,81.61,73,99,10.51,MV,2022-02-05 00:47:32
123,Geraldton,-28.7667,114.6,99.12,11,0,17.27,AU,2022-02-05 00:47:33
124,Syracuse,37.0881,15.2792,52.32,76,48,8.61,IT,2022-02-05 00:47:33
125,Balatonalmadi,47.0353,18.0208,40.89,65,100,5.86,HU,2022-02-05 00:47:34
126,Severo-Kurilsk,50.6789,156.125,31.17,88,90,8.39,RU,2022-02-05 00:47:34
127,Fernley,39.608,-119.2518,52.66,39,22,4.27,US,2022-02-05 00:46:32
128,Teguise,29.0605,-13.564,62.82,72,0,9.22,ES,2022-02-05 00:47:35
129,Carnarvon,-24.8667,113.6333,91.47,19,13,12.66,AU,2022-02-05 00:47:35
130,Yining,29.0361,114.5636,40.84,76,1,1.48,CN,2022-02-05 00:47:35
131,Homestead,25.4687,-80.4776,74.01,86,0,4.61,US,2022-02-05 00:47:36
132,Hasaki,35.7333,140.8333,41.4,39,2,22.37,JP,2022-02-05 00:47:36
133,Nuuk,64.1835,-51.7216,7.41,78,100,6.91,GL,2022-02-05 00:47:37
134,Tilichiki,60.4667,166.1,-3.03,75,100,9.4,RU,2022-02-05 00:47:37
135,New Norfolk,-42.7826,147.0587,66.76,56,94,4.76,AU,2022-02-05 00:44:16
136,Hambantota,6.1241,81.1185,73.74,100,20,3.44,LK,2022-02-05 00:48:38
137,Moose Factory,51.2585,-80.6094,-7.6,59,100,4.61,CA,2022-02-05 00:43:52
138,Adrar,20.5022,-10.0711,64.65,11,0,9.6,MR,2022-02-05 00:48:38
139,Atambua,-9.1061,124.8925,79.68,78,100,3.09,ID,2022-02-05 00:48:39
140,Marawi,7.9986,124.2928,70.65,74,86,4.0,PH,2022-02-05 00:48:39
141,The Valley,18.217,-63.0578,72.82,81,100,15.79,AI,2022-02-05 00:48:39
