City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
92,Freetown,8.484,-13.2299,77.04,78,70,7.9,SL
93,Sao Joao Da Barra,-21.6403,-41.0511,77.36,84,26,27.04,BR
94,Teguise,29.0605,-13.564,62.82,63,0,13.8,ES
95,Acapulco,16.8634,-99.8901,84.02,70,0,10.36,MX
96,Toamasina,-18.1667,49.3833,81.14,71,100,15.01,MG
97,Cape Town,-33.9258,18.4232,72.01,64,0,1.01,ZA
98,Kousseri,12.0769,15.0306,67.98,14,1,12.3,CM
99,Socorro,31.6546,-106.3033,48.38,28,0,0.0,US
100,Guatire,10.4762,-66.5427,70.47,95,72,2.91,VE
101,Sept-Iles,50.2001,-66.3821,3.06,61,27,3.0,CA
102,Victoria,22.2855,114.1577,59.32,83,99,1.01,HK
103,Uruburetama,-3.625,-39.5083,74.97,85,34,3.09,BR
104,High Level,58.5169,-117.136,8.2,94,100,1.86,CA
105,Jiangyou,31.7667,104.7167,39.6,97,100,3.4,CN
106,Esperance,-33.8667,121.9,69.28,62,5,18.37,AU
107,Jacareacanga,-6.2222,-57.7528,74.82,98,88,1.41,BR
108,Hithadhoo,-0.6,73.0833,81.77,74,72,10.69,MV
109,Shache,38.4167,77.2406,29.71,61,100,2.93,CN
110,Marysville,48.0518,-122.1771,49.46,88,75,1.01,US
111,Samarai,-10.6167,150.6667,82.53,74,100,6.58,PG
112,Bluff,-46.6,168.3333,54.81,63,62,11.5,NZ
113,Vila Velha,-20.3297,-40.2925,77.95,86,49,8.01,BR
114,Nizhneangarsk,55.7833,109.55,3.87,95,100,1.95,RU
115,Ulladulla,-35.35,150.4667,68.88,74,100,12.03,AU
116,Ponta Do Sol,32.6667,-17.1,67.01,58,9,11.74,PT
117,Iqaluit,63.7506,-68.5145,-35.63,98,96,3.11,CA
118,Carnarvon,-24.8667,113.6333,77.07,88,75,10.36,AU
119,Chuy,-33.6971,-53.4616,67.35,89,53,10.71,UY
120,Constitucion,-35.3333,-72.4167,65.66,65,1,14.07,CL
121,Arraial Do Cabo,-22.9661,-42.0278,77.16,84,52,26.75,BR
122,Tiarei,-17.5333,-149.3333,86.02,75,9,19.77,PF
123,Bela,25.9333,81.9833,48.54,87,0,3.74,IN
124,Batonyterenye,47.9696,19.8408,32.41,75,42,6.64,HU
125,Longyearbyen,78.2186,15.6401,10.24,61,20,20.71,SJ
126,Gotsu,35.0,132.2167,36.1,55,100,22.19,JP
127,Harper,4.375,-7.7169,79.63,85,15,8.16,LR
128,Chazuta,-6.5742,-76.1367,86.85,68,83,1.99,PE
129,Gat,31.61,34.7642,52.39,100,79,7.63,IL
130,Coos Bay,43.3665,-124.2179,60.31,87,35,10.16,US
131,Dwarka,22.2394,68.9678,68.5,63,0,5.37,IN
132,Tekeli,44.83,78.8239,17.87,57,0,12.88,KZ
133,Idritsa,56.3316,28.8988,31.33,92,100,9.95,RU
134,Constantine,36.365,6.6147,47.61,71,75,5.75,DZ
135,Rawson,-43.3002,-65.1023,61.56,46,0,10.6,AR
136,Yellowknife,62.456,-114.3525,-11.58,86,80,5.01,CA
137,Gamba,-2.65,10.0,76.41,87,41,5.93,GA
138,Guerrero Negro,27.9769,-114.0611,68.92,25,0,11.03,MX
139,Thompson,55.7435,-97.8558,-9.58,93,100,3.13,CA
140,Moron,-34.6534,-58.6198,67.96,82,51,10.36,AR
141,Anadyr,64.75,177.4833,-23.03,98,24,4.25,RU
142,Bumbuna,9.05,-11.7333,71.74,43,44,2.15,SL
143,Puerto Colombia,10.9878,-74.9547,84.29,81,7,25.32,CO
144,Chicama,-7.8447,-79.1469,66.74,68,11,9.42,PE
145,Nanortalik,60.1432,-45.2371,8.89,62,78,14.25,GL
146,Ubrique,36.6778,-5.446,52.92,76,16,4.52,ES
147,Grindavik,63.8424,-22.4338,27.07,74,75,2.3,IS
148,San Vicente,-26.6167,-54.1333,67.69,93,97,1.07,AR
149,Cutervo,-6.379,-78.8157,52.74,83,87,5.79,PE
150,Ostrovnoy,68.0531,39.5131,16.02,83,100,29.73,RU
151,Sorland,67.667,12.6934,39.76,71,94,24.74,NO
152,Tilichiki,60.4667,166.1,-5.46,75,25,8.55,RU
153,Qaqortoq,60.7167,-46.0333,1.9,75,53,6.38,GL
154,Stephenville,32.2207,-98.2023,50.34,31,0,9.22,US
155,Tsalka,41.5946,44.0891,11.12,74,37,7.72,GE
156,Salinas,36.6777,-121.6555,67.98,40,0,3.44,US
157,Ejido,8.5514,-71.2375,68.18,86,95,2.51,VE
158,Zavodouspenskoye,56.8626,65.0155,12.49,94,100,3.74,RU
159,Kahului,20.8947,-156.47,78.84,81,13,8.01,US
160,Gayny,60.3071,54.3241,9.16,99,92,4.07,RU
161,Bilma,18.6853,12.9164,59.72,20,0,6.17,NE
162,Lima,-12.0432,-77.0282,71.38,82,0,1.01,PE
163,Altay,47.8667,88.1167,6.98,49,0,9.84,CN
164,Bara,10.3744,10.7288,66.67,28,0,9.91,NG
165,Paamiut,61.994,-49.6678,-4.63,86,69,11.01,GL
166,Krasnovishersk,60.4078,57.082,1.35,99,59,3.27,RU
167,Butaritari,3.0707,172.7902,82.74,73,43,18.77,KI
168,Suntar,62.1444,117.6319,-5.55,99,97,4.03,RU
169,Haines Junction,60.7522,-137.5108,30.27,93,100,4.81,CA
170,Bengkulu,-3.8004,102.2655,72.77,96,100,7.83,ID
171,Ilulissat,69.2167,-51.1,-1.12,76,100,8.01,GL
172,Balkanabat,39.5108,54.3671,39.87,74,92,14.79,TM
173,Ginir,7.1333,40.7,58.91,22,92,5.99,ET
174,Saldanha,-33.0117,17.9442,67.82,72,34,4.14,ZA
175,Isangel,-19.55,169.2667,84.31,89,75,10.36,VU
176,Atar,20.5169,-13.0499,72.05,10,0,4.12,MR
177,Fengzhen,40.4394,113.1536,10.67,54,5,1.16,CN
178,Vao,-22.6667,167.4833,80.19,86,30,11.65,NC
179,Saint Anthony,45.0205,-93.218,25.3,66,100,5.01,US
180,San Policarpo,12.1791,125.5072,80.02,76,90,18.61,PH
181,Panorama,40.5878,23.0315,45.9,61,97,4.0,GR
182,Dunedin,-45.8742,170.5036,52.81,83,66,7.0,NZ
183,Ucluelet,48.9329,-125.5528,48.09,89,100,1.01,CA
184,Avera,33.194,-82.5271,48.74,44,2,5.86,US
185,Hermanus,-34.4187,19.2345,68.81,84,23,13.82,ZA
186,Lesnoy,57.6198,63.0784,12.22,94,100,3.29,RU
187,Rudnogorsk,57.2639,103.7519,19.18,93,100,9.93,RU
188,Taoudenni,22.6783,-3.9836,70.45,10,99,10.0,ML
189,Lumeje,-11.55,20.7833,63.14,88,97,4.83,AO
190,Yar-Sale,66.8333,70.8333,-11.63,100,82,2.95,RU
191,Konza,-1.7426,37.1294,62.24,78,100,2.33,KE
